label,x,y,z
606,7.0459404,0.0,0.0
607,7.0958414,0.0,0.0
608,7.1457424,0.0,0.0
609,7.1956434,0.0,0.0
610,7.2455444,0.0,0.0
611,7.2954454,0.0,0.0
612,7.3453465,0.0,0.0
613,7.3952475,0.0,0.0
614,7.4451485,0.0,0.0
615,7.4950495,0.0,0.0
616,7.5449505,0.0,0.0
617,7.5948515,0.0,0.0
618,7.6447525,0.0,0.0
619,7.6946535,0.0,0.0
620,7.7445545,0.0,0.0
621,7.7944555,0.0,0.0
622,7.8443565,0.0,0.0
623,7.8942575,0.0,0.0
624,7.9441586,0.0,0.0
625,7.9940596,0.0,0.0
626,8.0439606,0.0,0.0
627,8.0938616,0.0,0.0
628,8.1437626,0.0,0.0
629,8.1936636,0.0,0.0
630,8.2435646,0.0,0.0
631,8.2934656,0.0,0.0
632,8.3433666,0.0,0.0
633,8.3932676,0.0,0.0
634,8.4431686,0.0,0.0
635,8.4930696,0.0,0.0
636,8.5429707,0.0,0.0
637,8.5928717,0.0,0.0
638,8.6427727,0.0,0.0
639,8.6926737,0.0,0.0
640,8.7425747,0.0,0.0
641,8.7924757,0.0,0.0
642,8.8423767,0.0,0.0
643,8.8922768,0.0,0.0
644,8.9421778,0.0,0.0
645,8.9920788,0.0,0.0
646,9.0419798,0.0,0.0
647,9.0918808,0.0,0.0
648,9.1417818,0.0,0.0
649,9.1916828,0.0,0.0
650,9.2415838,0.0,0.0
651,9.2914848,0.0,0.0
652,9.3413858,0.0,0.0
653,9.3912868,0.0,0.0
654,9.4411879,0.0,0.0
655,9.4910889,0.0,0.0
656,9.5409899,0.0,0.0
657,9.5908909,0.0,0.0
658,9.6407919,0.0,0.0
659,9.6906929,0.0,0.0
660,9.7405939,0.0,0.0
661,9.7904949,0.0,0.0
662,9.8403959,0.0,0.0
663,9.8902969,0.0,0.0
664,9.9401979,0.0,0.0
665,9.990099,0.0,0.0
666,10.04,0.0,0.03
667,10.04,0.0,0.06
668,9.990099,0.0,0.09
669,9.9401979,0.0,0.09
670,9.8902969,0.0,0.09
671,9.8403959,0.0,0.09
672,9.7904949,0.0,0.09
673,9.7405939,0.0,0.09
674,9.6906929,0.0,0.09
675,9.6407919,0.0,0.09
676,9.5908909,0.0,0.09
677,9.5409899,0.0,0.09
678,9.4910889,0.0,0.09
679,9.4411879,0.0,0.09
680,9.3912868,0.0,0.09
681,9.3413858,0.0,0.09
682,9.2914848,0.0,0.09
683,9.2415838,0.0,0.09
684,9.1916828,0.0,0.09
685,9.1417818,0.0,0.09
686,9.0918808,0.0,0.09
687,9.0419798,0.0,0.09
688,8.9920788,0.0,0.09
689,8.9421778,0.0,0.09
690,8.8922768,0.0,0.09
691,8.8423767,0.0,0.09
692,8.7924757,0.0,0.09
693,8.7425747,0.0,0.09
694,8.6926737,0.0,0.09
695,8.6427727,0.0,0.09
696,8.5928717,0.0,0.09
697,8.5429707,0.0,0.09
698,8.4930696,0.0,0.09
699,8.4431686,0.0,0.09
700,8.3932676,0.0,0.09
701,8.3433666,0.0,0.09
702,8.2934656,0.0,0.09
703,8.2435646,0.0,0.09
704,8.1936636,0.0,0.09
705,8.1437626,0.0,0.09
706,8.0938616,0.0,0.09
707,8.0439606,0.0,0.09
708,7.9940596,0.0,0.09
709,7.9441586,0.0,0.09
710,7.8942575,0.0,0.09
711,7.8443565,0.0,0.09
712,7.7944555,0.0,0.09
713,7.7445545,0.0,0.09
714,7.6946535,0.0,0.09
715,7.6447525,0.0,0.09
716,7.5948515,0.0,0.09
717,7.5449505,0.0,0.09
718,7.4950495,0.0,0.09
719,7.4451485,0.0,0.09
720,7.3952475,0.0,0.09
721,7.3453465,0.0,0.09
722,7.2954454,0.0,0.09
723,7.2455444,0.0,0.09
724,7.1956434,0.0,0.09
